,Paper Title,Author,Link to Paper,Link for Code,Conference,Year,Author Affiliation,ReadMe,Type,Available,Last Modified,Language,Evaluate Later,Compiles,Output Matches,Hardware,Made for Reproducibility,Funding,Artifact Evaluation,Comments,Unnamed: 20,Unnamed: 21,"4,6",Made Available,Unnamed: 2
25,ICS3Fuzzer: A Framework for Discovering Protocol Implementation Bugs in ICS Supervisory Software by Fuzzing,"Fang, Dongliang and Song, Zhanwei and Guan, Le and Liu, Puzhuo and Peng, Anni and Cheng, Kai and Zheng, Yaowen and Liu, Peng and Zhu, Hongsong and Sun, Limin",https://dl.acm.org/doi/pdf/10.1145/3485832.3488028,https://github.com/boofish/ICS3Fuzzer,ACSAC,2021.0,,1.0,1,2,2021-12-22 00:00:00,"Python, C",,2.0,-1,None,0,"This work is supported in part by Guangdong Province
Key Area R&D Program of China under Grant No. 2019B010137004.
and Key Program of National Natural Science Foundation of China
under Grant No. U1766215",-1.0,"Restricted access to software needed to perform fuzzing experiments; too many configuration/code changes had to be made (adjusting screen size values manually, fixing paths) to get code running in an hour.",,,1,,
26,Keeping Safe Rust Safe with Galeed,"Rivera, Elijah and Mergendahl, Samuel and Shrobe, Howard and Okhravi, Hamed and Burow, Nathan",https://dl.acm.org/doi/pdf/10.1145/3485832.3485903, https://github.com/mit-ll/galeed,ACSAC,2021.0,,1.0,1,2,2021-11-02 00:00:00,Rust,,0.0,1,None,0,based upon work supported by the Under Secretary of Defense (USD) for Research & Engineering (R&E) under Air Force Contract No. FA8702-15-D-0001,-1.0,Instructions are riddled with TODOs missing necessary information to build. Couldn't build within hour time slot.,,,0,,
27,A formal analysis of IKEv2’s post-quantum extension,"Gazdag, Stefan-Lukas and Grundner-Culemann, Sophia and Guggemos, Tobias and Heider, Tobias and Loebenberger, Daniel",https://dl.acm.org/doi/pdf/10.1145/3485832.3485885,https://github.com/mnm-team/tamarin-ikev2,ACSAC,2021.0,,2.0,1,2,2022-11-21 00:00:00,Tamarin,,0.0,1,None,0,we gratefully acknowledge the Leibniz Super-Computing Centre (LRZ)1 for funding this project,0.0,,,,2,,
28,Cupid: Automatic Fuzzer Selection for Collaborative Fuzzing,"Güler, Emre and Göz, Philipp and Geretto, Elia and Jemmett, Andrea and Österlund, Sebastian and Bos, Herbert and Giuffrida, Cristiano and Holz, Thorsten",https://dl.acm.org/doi/pdf/10.1145/3427228.3427266,https://github.com/RUB-SysSec/cupid,ACSAC,2020.0,,2.0,1,2,25/03/2021,C,,5.0,2: timed out,,0,"supported by the Deutsche Forschungsgemeinschaft (DFG, Ger-
man Research Foundation) under Germany’s Excellence Strategy –
EXC-2092 CaSa – 390781972. In addition, this project has received
funding from the European Union’s Horizon 2020 research and
innovation programme under grant agreement No. 786669 (ReAct)",1.0,Requires more than 100GB of disk space to build,,,0,,
29,RusTEE: Developing Memory-Safe ARM TrustZone Applications,"Wan, Shengye and Sun, Mingshen and Sun, Kun and Zhang, Ning and He, Xu",https://dl.acm.org/doi/pdf/10.1145/3427228.3427262,https://github.com/apache/incubator-teaclave-trustzone-sdk,ACSAC,2020.0,,2.0,0,2,22/04/2024,Rust,,0.0,-1,None,1,NSF grant CNS-1815650,1.0,,,,1,,
30,Short Paper: LTESniffer: An Open-source LTE Downlink/Uplink Eavesdropper,"Tuan Dinh Hoang, CheolJun Park, Mincheol Son, Taekkyung Oh, Sangwook Bae, Junho Ahn, BeomSeok Oh, Yongdae Kim",https://dl.acm.org/doi/pdf/10.1145/3558482.3590196,https://github.com/SysSec-KAIST/LTESniffer,WiSec,2023.0,,2.0,0,2,2024-01-15 00:00:00,C++,,0.0,-1,LTE SDR,1,"supported by Institute of Information & communica-
tions Technology Planning & Evaluation (IITP) grant funded by the
Korea government (MSIT) (No.2020-0-00428, automated security
diagnosis framework for cellular network protocol using formal
and comparative analysis, and No.2022-0-01202, regional strategic
industry convergence security core talent training business",1.0,,,,0,,
31,Practical Over-Threshold Multi-Party Private Set Intersection,"Mahdavi, Rasoul Akhavan and Humphries, Thomas and Kacsmar, Bailey and Krastnikov, Simeon and Lukas, Nils and Premkumar, John A. and Shafieinejad, Masoumeh and Oya, Simon and Kerschbaum, Florian and Blass, Erik-Oliver",https://dl.acm.org/doi/pdf/10.1145/3427228.3427267,https://github.com/cryspuwaterloo/OT-MP-PSI,ACSAC,2020.0,,2.0,1,2,2020-08-31 00:00:00,C++,,0.0,3: reproducing script failed (but tool built and worked against individual tests),None,0,"support of NSERC for grants RGPIN-05849, CRDPJ-531191, IRC-
537591, and the Royal Bank of Canada for funding this research",0.0,reproducing script failed (but tool built and worked against individual tests),,,1,,
32,CAPS: Smoothly Transitioning to a More Resilient Web PKI,"Matsumoto, Stephanos and Bosamiya, Jay and Dai, Yucheng and van Oorschot, Paul and Parno, Bryan",https://dl.acm.org/doi/pdf/10.1145/3427228.3427284,https://github.com/syclops/caps,ACSAC,2020.0,,0.0,1,2,2023-02-22 00:00:00,"C++, Python",,2.0,-1,None,1,"CyLab Presidential Fel-
lowship. Paul Van Oorschot is supported by an NSERC Discovery
Grant. Work at Carnegie Mellon University was supported in part
by the NSF under Grant No. CNS 1900996, the Alfred P. Sloan Foun-
dation, and the CONIX Research Center, one of six centers in JUMP,
a Semiconductor Research Corporation (SRC) program sponsored
by DARPA",-1.0,"README lacked any instructions on how to build the project, let alone information on dependencies needed.",,,0,,
33,HeapExpo: Pinpointing Promoted Pointers to Prevent Use-After-Free Vulnerabilities,"Shen, Zekun and Dolan-Gavitt, Brendan",https://dl.acm.org/doi/pdf/10.1145/3427228.3427645,https://github.com/messlabnyu/heap-expo,ACSAC,2020.0,,2.0,1,2,2020-09-02 00:00:00,C++,,2.0,-1,None,1,"supported in part by National Science Founda-
tion (NSF) Award 1657199",1.0,,,,0,,
34,ρFEM: Efficient Backward-edge Protection Using Reversed Forward-edge Mappings,"Muntean, Paul and Neumayer, Mathias and Lin, Zhiqiang and Tan, Gang and Grossklags, Jens and Eckert, Claudia",https://dl.acm.org/doi/pdf/10.1145/3427228.3427246,https://github.com/TeamVault/rhoFEM,ACSAC,2020.0,,1.0,1,2,2021-06-28 00:00:00,C++,,2.0,-1,None,1,None,-1.0,Had no instructions on compiling LLVM Gold (which failed when I tried from the LLVM website). The actual build process wasn't clear--calling `make` did not work correctly due to a bad path.,,,0,,
35,Dragonblood is Still Leaking: Practical Cache-based Side-Channel in the Wild,"De Almeida Braga, Daniel and Fouque, Pierre-Alain and Sabt, Mohamed",https://dl.acm.org/doi/pdf/10.1145/3427228.3427295,https://gitlab.inria.fr/msabt/attack-poc-freeradius,ACSAC,2020.0,,2.0,1,2,2020-07-10 00:00:00,Bash,,2.0,-1,WiFi Card,1,"funded by the
Direction Générale de l’Armement (Pôle de Recherche CYBER)",0.0,"Required modifications to build scripts to run correctly and had no dependency information. After modifications, scripts still didn't run correctly and error information had no clear path forward.",,,0,,
36,An empirical study of SMS one-time password authentication in Android apps,"Siqi Ma, Runhan Feng, Juanru Li, Yang Liu, Surya Nepal",https://dl.acm.org/doi/pdf/10.1145/3359789.3359828,https://github.com/GoSSIP-SJTU/auth-eye,ACSAC,2019.0,,-1.0,1,2,None,None,,-1.0,-1,None,None,"supported by CSIRO Research Office. It was also partially supported by the General Program of National Natural Science Foundation of China (Grant No.61872237), the Key Program of National Natural Science
Foundation of China (Grant No.U1636217), and the Major Project of Ministry of Industry and Information Technology of China ([2018] No.36)",-1.0,Github repo 404'd,,,"1,4",,
37,JStap: a static pre-filter for malicious JavaScript detection,"Aurore Fass, Michael Backes, Ben Stock",https://dl.acm.org/doi/pdf/10.1145/3359789.3359813,https://github.com/Aurore54F/JStap,ACSAC,2019.0,,-1.0,1,2,None,None,,-1.0,-1,None,None,"partially supported by the German Federal Ministry of Education and Research (BMBF) through funding
for the Center for IT-Security, Privacy and Accountability (CISPA) (FKZ: 16KIS0345)",1.0,Github repo 404'd,,,0,,
38,Speculator: a tool to analyze speculative execution attacks and mitigations,"Mambretti, Andrea and Neugschwandtner, Matthias and Sorniotti, Alessandro and Kirda, Engin and Robertson, William and Kurmus, Anil",https://dl.acm.org/doi/pdf/10.1145/3359789.3359837,https://github.com/ibm-research/speculator,ACSAC,2019.0,,2.0,1,2,2021-12-08 00:00:00,"C,Assembly",,4.0,-1,None,1,"partially supported by the National Science Foun-
dation (NSF) under grant CNS-1703454 award, ONR grant ""In-Situ Malware Containment and Deception through Dynamic In-Process
Virtualization"", and Secure Business Austria",1.0,Requires raw CPU access (which I couldn't figure out how to pass through via docker--tried for an hour). I may just run this directly in the VM.,,,6,,
39,Will you trust this TLS certificate? perceptions of people working in IT,"Ukrop, Martin and Kraus, Lydia and Matyas, Vashek and Wahsheh, Heider Ahmad Mutleq",https://dl.acm.org/doi/pdf/10.1145/3359789.3359800,https://crocs.fi.muni.cz/public/papers/acsac2019,ACSAC,2019.0,,,1,4: Zenodo,2019-08-01 00:00:00,,1.0,,,None,0,None,0.0,Requires VM to reproduce--will do later,,,0,,
40,PDoT: private DNS-over-TLS with TEE support,"Nakatsuka, Yoshimichi and Paverd, Andrew and Tsudik, Gene",https://dl.acm.org/doi/pdf/10.1145/3359789.3359793,https://github.com/sprout-uci/PDoT,ACSAC,2019.0,,2.0,1,2,13/05/2020,C,1.0,,,Intel SGX,1,"NSF Award Number:1840197, titled: ""CICI:
SSC: Horizon: Secure Large-Scale Scientific Cloud Computing"". The
first author was also supported by The Nakajima Foundation. The
second author was supported by a US-UK Fulbright Cyber Security
Scholar Award",0.0,Requires SGX hardware to build/run.,,,1,,
41,Revisiting utility metrics for location privacy-preserving mechanisms,"Virat Shejwalkar, Amir Houmansadr, Hossein Pishro-Nik, Dennis Goeckel",https://dl.acm.org/doi/pdf/10.1145/3359789.3359829,https://github.com/vrt1shjwlkr/Ride-Hailing-Service-Emulator,ACSAC,2019.0,,2.0,1,2,2019-09-18 00:00:00,Python,,2.0,-1,None,0,supported by the NSF grant CPS-1739462,0.0,"pip requirements.txt had no version numbers. As this project uses Python 2, the pip install failed due to newer versions of python used in the requirements.",,,0,,
42,Privacy preserving substring search protocol with polylogarithmic communication cost,"Nicholas Mainardi, Alessandro Barenghi, Gerardo Pelosi",https://dl.acm.org/doi/pdf/10.1145/3359789.3359842,https://dx.doi.org/10.5281/zenodo.3384814,ACSAC,2019.0,,,1,4: Zenodo,2019-09-03 00:00:00,,,1.0,2,None,0,,1.0,Docker container required slight modification to dependencies to build (python -> python3).,,,5,,
43,Whisper: a unilateral defense against VoIP traffic re-identification attacks,"Tavish Vaidya, Tim Walsh, Micah Sherr",https://dl.acm.org/doi/pdf/10.1145/3359789.3359807,https://www.whisperintovoip.com/,ACSAC,2019.0,,-1.0,2,Google Drive,2019-06-13 00:00:00,None,,-1.0,-1,None,1,partially supported by the National Science Foundation under grant number CNS-1718498.,-1.0,Just a collection of .wav files (no code). Used in a user study.,,,0,,
44,SmarTor: Smarter Tor with Smart Contracts: Improving resilience of topology distribution in the Tor network,"Andre, Greubel and Alexandra, Dmitrienko and Samuel, Kounev",https://dl.acm.org/doi/pdf/10.1145/3274694.3274722,https://greubelhome.ddns.net/index.php/s/NY2BxWnd88LP8XN,ACSAC,2018.0,,-1.0,2,1,None,None,,-1.0,-1,None,1,None,0.0,Website hosting link to artifact is down.,,,0,,
45,SIP shaker: software integrity protection composition,"Mohsen Ahmadvand, Dennis Fischer",https://dl.acm.org/doi/pdf/10.1145/3359789.3359848,https://github.com/mr-ma/sip-shaker-artifact/,ACSAC,2019.0,,2.0,1,2,2020-03-09 00:00:00,C++,,-1.0,-1,None,0,None,1.0,"Docker container would not build, even after modifying dependencies.",,,0,,
46,Proof of aliveness,"Chenglu Jin, Zheng Yang, Marten van Dijk, Jianying Zhou",https://dl.acm.org/doi/pdf/10.1145/3359789.3359827,https://github.com/ChengluJin/Proof_of_Aliveness,ACSAC,2019.0,,0.0,1,2,2019-09-04 00:00:00,C,,2.0,-1,None,1," This work was supported by the National Research Foundation (NRF), Prime Ministers Office, Singapore, under its National Cybersecurity R&D Programme (Award No. NRF2014NCR-NCR001-31) and administered by the National Cybersecurity R&D Directorate. Marten van Dijk was partially supported by AFOSR MURI under award number FA9550-14-1-0351. Chenglu Jin’s work was done during his internship in SUTD supported by the SUTD start-up research grant SRG STD-2017-124",0.0,Repository lacks any build scripts necessary to compile code.,,,0,,
47,An Historical Analysis of the SEAndroid Policy Evolution,"Im, Bumjin and Chen, Ang and Wallach, Dan S.",https://dl.acm.org/doi/pdf/10.1145/3274694.3274709,http://imbumjin.github.io/gitmining_sepolicy.tar.gz,ACSAC,2018.0,,-1.0,0,1,None,None,,-1.0,-1,Android device,1,"This work was supported in part by NSF grants CNS-1801884, CNS-1409401, and CNS-1314492",0.0,Website link 404'd,,,0,,
48,TIFF: Using Input Type Inference To Improve Fuzzing,"Jain, Vivek and Rawat, Sanjay and Giuffrida, Cristiano and Bos, Herbert",https://dl.acm.org/doi/pdf/10.1145/3274694.3274746,https://www.vusec.net/projects/#testing,ACSAC,2018.0,,-1.0,0,-1,None,None,,-1.0,-1,None,1,"This project was supported by the European Union’s Horizon
2020 research and innovation programme under grant agreement No.
786669 (ReAct) and by the Netherlands Organisation for Scientific
Research through grants NWO 639.023.309 VICI “Dowsing” and
NWO 639.021.753 VENI “PantaRhei”.",0.0,Project not available on website,,,0,,
49,Wi Not Calling: Practical Privacy and Availability Attacks in Wi-Fi Calling,"Baek, Jaejong and Kyung, Sukwha and Cho, Haehyun and Zhao, Ziming and Shoshitaishvili, Yan and Doupé, Adam and Ahn, Gail-Joon",https://dl.acm.org/doi/pdf/10.1145/3274694.3274753,https://github.com/sefcom/Wi-Fi-Calling-scource-code,ACSAC,2018.0,,1.0,1,2,2020-01-14 00:00:00,Python,1.0,,,"Mobile Phone, WiFi Router",1,"based upon work supported in part by Sam-
sung Research, Samsung Electronics, the Center for Cybersecurity
and Digital Forensics at Arizona State University, the National Sci-
ence Foundation (NSF 1651661), the Defense Advanced Research
Projects Agency (DARPA HR001118C0060), and the Global Research
Laboratory Program through the National Research Foundation
of Korea funded by the Ministry of Science and ICT under Grant
NRF-2014K1A1A2043029",0.0,Requires hardware we don't have to be able to build/reproduce results.,,,0,,
50,An Extensive Evaluation of the Internet's Open Proxies,"Mani, Akshaya and Vaidya, Tavish and Dworken, David and Sherr, Micah",https://dl.acm.org/doi/pdf/10.1145/3274694.3274711,https://openproxies-acsac18.github.io/,ACSAC,2018.0,,2.0,1,1,2018-12-18 00:00:00,Python,,2.0,-1,None,1,supported by the National Science Foundation under grant numbers CNS-1149832 and CNS-1527401,0.0,Python2--unable to install dependencies to run,,,0,,
51,A Measurement Study of Authentication Rate-Limiting Mechanisms of Modern Websites,"Lu, Bo and Zhang, Xiaokuan and Ling, Ziman and Zhang, Yinqian and Lin, Zhiqiang",https://dl.acm.org/doi/pdf/10.1145/3274694.3274714,https://docs.google.com/spreadsheets/d/1K2Y5PH1jIhhIbf_8FDb2YvqZTHFLNHjzlY75QiOYs90/edit?usp=sharing,ACSAC,2018.0,,-1.0,2,Google Drive,None,None,,-1.0,-1,None,1,"supported in part by Natural Science Foundation under Grant 1718084, 1750809, 1834215",0.0,Just a Google Sheets filled with a few domains and timing info (no code),,,0,,
52,Grid Shock: Coordinated Load-Changing Attacks on Power Grids: The Non-Smart Power Grid is Vulnerable to Cyber Attacks as Well,"Dabrowski, Adrian and Ullrich, Johanna and Weippl, Edgar R.",https://dl.acm.org/doi/pdf/10.1145/3134600.3134639,http://seclab.tuwien.ac.at/people/atrox/gridshock-dabrowski.zip,ACSAC,2017.0,,-1.0,1,-1,None,None,,-1.0,-1,None,1,"partially sponsored with the CyPhySec project
by the Bridge FrÃĳhphase program and the COMET K1 program,
both by the Austrian Research Promoting Agency (FFG). Isometric
icons from the Lincity-ng project in Figure 1 distributed under
CC-BY-SA-v2",0.0,Website down--no way to retreive artifacts.,,,4,,
53,Measuring Popularity of Cryptographic Libraries in Internet-Wide Scans,"Nemec, Matus and Klinec, Dusan and Svenda, Petr and Sekan, Peter and Matyas, Vashek",https://dl.acm.org/doi/pdf/10.1145/3134600.3134612,https://github.com/crocs-muni/classifyRSAkey,ACSAC,2017.0,,2.0,1,2,2020-08-17 00:00:00,Java,,0.0,-1,None,1,"support of the Czech Science Foundation under project GA16-08565S. The
access to the computing and storage resources of National Grid Infrastructure MetaCentrum (LM2010005) is also greatly appreciated",0.0,"Some linked data was unavailable (Google Drive 404'd). It wasn't part of the artifact per se, but it made it so that we couldn't reproduce results.",,,0,,
54,n-Auth: Mobile Authentication Done Right,"Peeters, Roel and Hermans, Jens and Maene, Pieter and Grenman, Katri and Halunen, Kimmo and Häikiö, Juha",https://dl.acm.org/doi/pdf/10.1145/3134600.3134613,https://www.n-auth.com/dev/,ACSAC,2017.0,,-1.0,0,-1,None,None,,-1.0,-1,Mobile Phone,1,None,-1.0,Website down--no way to retreive artifacts.,,,0,,
55,Life-experience passwords (LEPs),"Simon Woo, Elsi Kaiser, Ron Artstein, Jelena Mirkovic",https://dl.acm.org/doi/pdf/10.1145/2991079.2991107,http://leps.isi.edu/demo,ACSAC,2016.0,,-1.0,3,-1,None,None,,-1.0,-1,None,1,None,-1.0,Website down--no way to retreive artifacts.,,,0,,
56,ErsatzPasswords: Ending Password Cracking and Detecting Password Leakage,"Almeshekah, Mohammed H., Gutierrez, Christopher N., Atallah, Mikhail J., Spafford, Eugene H.",https://dl.acm.org/doi/pdf/10.1145/2818000.2818015,https://github.com/cngutierr/ErsatzPassword,ACSAC,2016.0,,0.0,1,2,2016-01-16 00:00:00,C,1.0,,,None,1," supported by National Science Foundation Grants CPS-1329979, Science and Technology Center CCF-0939370; by an NPRP grant from the Qatar National Research Fund; and by sponsors of the Center for Education and Research in Information Assurance and Security",,Requires BSD to run.,,,0,,
57,Scalable and Secure Concurrent Evaluation of History-based Access Control Policies,"Decat, Maarten, Lagaisse, Bert, Joosen, Wouter",https://dl.acm.org/doi/pdf/10.1145/2818000.2818008,https://people.cs.kuleuven.be/~%e2%88%bcmaarten.decat/acsac2015/,ACSAC,2015.0,,-1.0,0,-1,None,None,,-1.0,-1,None,1,None,-1.0,Website 403'd--no way to retreive artifacts.,,,3,,
58,Entity-Based Access Control: supporting more expressive access control policies,"Bogaerts, Jasper, Decat, Maarten, Lagaisse, Bert, Joosen, Wouter",https://dl.acm.org/doi/pdf/10.1145/2818000.2818009,https://people.cs.kuleuven.be/~jasper.bogaerts/auctoritas/,ACSAC,2015.0,,-1.0,0,-1,None,None,,-1.0,-1,None,1,"partially funded by the Research Fund KU Leuven, and by the EU FP7 project NESSoS. With the financial support from the Prevention of and Fight against Crime Programme of the European Union (B-CCENTRE)",-1.0,Website 403'd--no way to retreive artifacts.,,,3,,
59,MOSE: Live Migration Based On-the-Fly Software Emulation,"Wei, Jinpeng, Yan, Lok K., Hakim, Muhammad Azizul",https://dl.acm.org/doi/pdf/10.1145/2818000.2818022,https://users.cs.fiu.edu/~weijp/MOSE/demo3.html,ACSAC,2015.0,,-1.0,3,-1,None,None,,-1.0,-1,None,1,supported by the United States Air Force Research Laboratory (AFRL) Visiting Faculty Research Program (VFRP) and its extension grant,-1.0,Website 404'd--no way to retrieve atrifacts.,,,"1,5",,
60,Grab 'n Run: Secure and Practical Dynamic Code Loading for Android Applications,"Falsina, Luca, Fratantonio, Yanick, Zanero, Stefano, Kruegel, Christopher, Vigna, Giovanni, Maggi, Federico",https://dl.acm.org/doi/pdf/10.1145/2818000.2818042,http://grabnrun.org/,ACSAC,2015.0,,-1.0,1,-1,None,None,,-1.0,-1,None,1,"based on research sponsored by DARPA under agreements number FA8750-12-2-0101 and FA8750-
15-2-0084. The work was also supported by the Office of Naval Research (ONR) under grant N000140911042, the Army Research Office (ARO) under grant W911NF0910553, by the National Science Foundation under grant CNS-1408632, Secure Business Austria, and MIUR FACE Project No. RBFR13AJFT.",-1.0,Website 404'd--no way to retrieve atrifacts.,,,0,,
61,A security evaluation of AIS automated identification system,"Balduzzi, Marco and Pasta, Alessandro and Wilhoit, Kyle",https://dl.acm.org/doi/pdf/10.1145/2664243.2664257,https://iseclab.org/people/embyte/,ACSAC,2014.0,,-1.0,1,-1,None,None,,-1.0,-1,None,1,None,-1.0,Website 404'd--no way to retrieve atrifacts.,,,"2,7",,
62,NodeSentry: least-privilege library integration for server-side JavaScript,"De Groef, Willem and Massacci, Fabio and Piessens, Frank",https://dl.acm.org/doi/pdf/10.1145/2664243.2664276,https://distrinet.cs.kuleuven.be/software/NodeSentry/,ACSAC,2014.0,,2.0,0,2,2023-01-23 00:00:00,JavaScript,,2.0,-1,None,1,"partially funded by the Research Fund KU Leuven, the EU-funded FP7 projects NESSoS and WebSand, the IWT-SBO project SPION and the Italian Project PRIN-MIUR-TENACE. With the financial support from the Prevention of and Fight against Crime Programme of the European Union European Commission – Directorate-General Home Affairs",-1.0,"Had a nice npm install endpoint, but the actual program wouldn't run because of obsolete dependency APIs that have been removed.",,,2,,
63,Relation extraction for inferring access control rules from natural language artifacts,"Slankas, John and Xiao, Xusheng and Williams, Laurie and Xie, Tao",https://dl.acm.org/doi/pdf/10.1145/2664243.2664280,https://sites.google.com/site/AccessControlRuleExtraction,ACSAC,2014.0,,-1.0,2,-1,None,None,,-1.0,-1,None,1,Supported by the USA National Security Agency (NSA) Science of Security Lablet.,-1.0,Google site missing data (404'd).,,,0,,
64,Differentially private data aggregation with optimal utility,"Eigner, Fabienne; Kate, Aniket; Maffei, Matteo; Pampaloni, Francesca; Pryvalov, Ivan",https://dl.acm.org/doi/pdf/10.1145/2664243.2664263,http://crypsys.mmci.uni-saarland.de/projects/ArithmeticSMPC,ACSAC,2014.0,,-1.0,1,-1,None,None,,-1.0,-1,None,1,"supported by the German research foundation (DFG) through the Emmy Noether program and the Cluster of Excellence on Multimodal Computing and Interaction (MMCI), and by the German Federal Ministry of Education and Research (BMBF) through the Center for IT-Security, Privacy and Accountability (CISPA)",-1.0,Website down--no way to retreive artifacts.,,,0,,
65,Whitewash: outsourcing garbled circuit generation for mobile devices,"Carter, Henry; Lever, Charles; Traynor, Patrick",https://dl.acm.org/doi/pdf/10.1145/2664243.2664255,www.foryourphoneonly.org,ACSAC,2014.0,,-1.0,1,-1,None,None,,-1.0,-1,None,1,based on research sponsored by DARPA under agreement number FA8750-11-2-0211,-1.0,Website down--no way to retreive artifacts.,,,0,,
66,ICE: a passive high-speed state-continuity scheme,"Raoul Strackx, Bart Jacobs, Frank Piessens",https://dl.acm.org/doi/pdf/10.1145/2664243.2664259,http://cs.kuleuven.be/software/sce/,ACSAC,2014.0,,-1.0,1,-1,None,None,,-1.0,-1,None,1,"supported in part by the Intel Lab’s University Research Office. This research is also partially funded by the Research Fund KU Leuven, and by the EU FP7 project NESSoS",-1.0,Website down--no way to retreive artifacts.,,,3,,
67,Scippa: system-centric IPC provenance on Android,"Michael Backes, Sven Bugiel, Sebastian Gerling",https://dl.acm.org/doi/pdf/10.1145/2664243.2664264,http://infsec.cs.uni-saarland.de/projects/scippa/,ACSAC,2014.0,,-1.0,1,-1,None,None,,-1.0,-1,None,1,"supported by the German Ministry for Education and Research (BMBF) through funding for the Center for IT-Security, Privacy and Accountability (CISPA)",-1.0,Website 404'd--no way to retrieve atrifacts.,,,0,,
68,Android security framework: extensible multi-layered access control on Android,"Michael Backes, Sven Bugiel, Sebastian Gerling, Philipp von Styp-Rekowsky",https://dl.acm.org/doi/pdf/10.1145/2664243.2664265,http://infsec.cs.uni-saarland.de/projects/asf/,ACSAC,2014.0,,-1.0,1,-1,None,None,,-1.0,-1,None,1,"supported by the German Ministry for Education and Research (BMBF) through funding for the Center for IT-Security, Privacy and Accountability (CISPA)",-1.0,Website 404'd--no way to retrieve atrifacts.,,,0,,
69,Hot-hardening: getting more out of your security settings,"Sebastian Biedermann,Stefan Katzenbeisser,Jakub Szefer",https://dl.acm.org/doi/pdf/10.1145/2664243.2664246,http://caslab.eng.yale.edu/code,ACSAC,2014.0,,-1.0,1,-1,None,None,,-1.0,-1,None,1,funded by the German Federal Ministry of Education and Research (BMBF) under grant no. ”01C12S01V”,-1.0,Website down--no way to retreive artifacts.,,,0,,
70,Challenges and implications of verifiable builds for security-critical open-source software,"Xavier de Carné de Carnavalet,  Mohammad Mannan",https://dl.acm.org/doi/pdf/10.1145/2664243.2664288,https://madiba.encs.concordia.ca/~x_decarn/truecrypt-binaries-analysis/,ACSAC,2014.0,,-1.0,3,1,None,None,,-1.0,-1,None,1,supported in part by an NSERC Discovery Grant and an FRQNT nouveau chercheur grant,-1.0,Website gave detailed pictures outlining binary differences across builds; was very informative to visualize research.,,,0,,
71,Validating web content with senser,"Jordan Wilberding,Andrew Yates,Micah Sherr,Wenchao Zhou",https://dl.acm.org/doi/pdf/10.1145/2523649.2523669, https://security.cs.georgetown.edu/senser/,ACSAC,2013.0,,-1.0,1,-1,None,None,,-1.0,-1,None,1,"supported by the National Science Foundation through grants CNS-1149832, CNS-1064986, CNS-1204347, and CNS-1223825. This material is based upon work supported by the Defense Advanced Research Project Agency (DARPA) and Space and Naval Warfare Systems Center Pacific under Contract No. N66001-11-C-4020",-1.0,Website 404'd--no way to retrieve atrifacts.,,,0,,
72,PISKES: Pragmatic Internet-Scale Key-Establishment System,Benjamin Rothenberger and Dominik Ross and Markus Legner and Adrian Perrig,https://dl.acm.org/doi/pdf/10.1145/3320269.3384743,https://github.com/benrothen/piskes-verification,AsiaCCS,2020.0,,0.0,1,2,2020-03-13 00:00:00,Tamarin,,0.0,1,None,1,None,-1.0,,,,1,,
73,Exploiting Determinism in Lattice-based Signatures: Practical Fault Attacks on pqm4 Implementations of NIST Candidates,"Prasanna Ravi,Mahabir Prasad Jhanwar,James Howe,Anupam Chattopadhyay,Shivam Bhasin",https://dl.acm.org/doi/pdf/10.1145/3321705.3329821,https://github.com/jameshoweee/dilithium_forgery,AsiaCCS,2019.0,,0.0,1,2,2019-05-15 00:00:00,C,,0.0,-1,None,1,None,-1.0,"Required unmentioned dependencies to compile, but fine other than that. No instructions on how to run test scripts, so no way to reproduce.",,,1,,
74,Unity is strength! Combining Attestation and Measurements Inspection to handle Malicious Data Injections in Wireless Sensor Networks,"Vittorio P. Illiano, Rodrigo V. Steiner, Emil C. Lupu",https://dl.acm.org/doi/pdf/10.1145/3098243.3098249,https://pure.royalholloway.ac.uk/portal/ files/28145762/ProVerif Model.zip,WiSec,2017.0,,-1.0,1,-1,None,None,,-1.0,-1,None,1,"supported by the Brazilian National Council for
Scientific and Technological Development (CNPq) under Grant
No. 206707/2014-2 awarded to Rodrigo Vieira Steiner, and by the
UK Engineering and Physical Sciences Research Council (EPSRC)
under Grant No. 1391446 awarded to Vi_x008a_orio Paolo Illiano.",-1.0,Website 404'd--no way to retreive artifacts.,,,0,,
75,False Sense of Security: A Study on the Effectivity of Jailbreak Detection in Banking Apps,"Ansgar Kellner, Micha Horlboge, Konrad Rieck, Christian Wressnegger",https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8806743,https://dev.sec.tu-bs.de/ios/,EuroS&P,2019.0,,-1.0,1,-1,None,None,,-1.0,-1,None,1,German Federal Ministry of Education and Research (BMBF) under the projects VAMOS (16KIS0534) and FIDI (16KIS0786K).,-1.0,Website down--no way to retreive artifacts.,,,0,,
