Paper Title,Author,Link to Paper,Link for Code,Conference,Year,Author Affiliation,ReadMe,Type,Available,Last Modified,Language,Evaluate Later,Compiles,Output Matches,Hardware,Made for Reproducibility,Funding,Artifact Evaluation,Comments,,
Neurlux: dynamic malware analysis without feature engineering,"Jindal, Chani and Salls, Christopher and Aghakhani, Hojjat and Long, Keith and Kruegel, Christopher and Vigna, Giovanni",https://dl.acm.org/doi/pdf/10.1145/3359789.3359835,https://github.com/ucsb-seclab/Neurlux,ACSAC,2019,0,0,1,2,"Dec 26, 2020",Python,,2,-1,,1,"Intel, NSF, DARPA, ",-1,"Does not include any reproduce steps at all
does not include a main file
no python version (randomly selecting 3.7)
neuralnet dependency does not exist (maybe its a custom file they did not include)",ACSAC-2019-Neurlux:_dynamic_malware_analysis_without_feature_engineering,41_ACSAC-2019-Neurlux_dynamic_malware
Model inversion attacks against collaborative inference,"Zecheng He, Tianwei Zhang, Ruby B. Lee",https://dl.acm.org/doi/pdf/10.1145/3359789.3359824,https://github.com/zechenghe/Inverse_Collaborative_Inference,ACSAC,2019,0,1,1,2,"Aug 27, 2021",Python,,3,-1,,0,N/A,0,"Does not provide a pretrained model
Running through all the scripts they gave gives cryptic errors with pytorch
searching these errors used up my 1hour time",ACSAC-2019-Model_inversion_attacks_against_collaborative_inference,42_ACSAC-2019-Model_inversion_attacks
STRIP: a defence against trojan attacks on deep neural networks,"Yansong Gao, Change Xu, Derui Wang, Shiping Chen, Damith C. Ranasinghe, Surya Nepal",https://dl.acm.org/doi/pdf/10.1145/3359789.3359790,https://github.com/garrisongys/STRIP,ACSAC,2019,1,0,1,2,"Oct 7, 2019",Python,hpg,1,,,0,NJUST Research Start-Up,1,"No instructions in readme
randomly selecting python 3.7",ACSAC-2019-STRIP:_a_defence_against_trojan_attacks_on_deep_neural_networks,43_ACSAC-2019-STRIP_a_defence
A First Look at Toxicity Injection Attacks on Open-domain Chatbots,"Weeks, Connor and Cheruvu, Aravind and Abdullah, Sifat Muhammad and Kanchi, Shravya and Yao, Daphne and Viswanath, Bimal",https://dl.acm.org/doi/pdf/10.1145/3627106.3627122,https://github.com/secml-lab-vt/Chatbot-Toxicity-Injection,ACSAC,2023,0,2,1,2,13/03/2024,Python,,-1,-1,,1,"NSF grant 2231002 and the Commonwealth Cyber Initiative, 
an investment in the advancement of cyber R&D, innovation, 
and workforce development",,,ACSAC-2023-A_First_Look_at_Toxicity_Injection_Attacks_on_Open-domain_Chatbots,44_ACSAC-2023-A_First_Look
Secure Softmax/Sigmoid for Machine-learning Computation,"Zheng, Yu and Zhang, Qizhi and Chow, Sherman S. M. and Peng, Yuxiang and Tan, Sijun and Li, Lichun and Yin, Shan",https://dl.acm.org/doi/pdf/10.1145/3627106.3627175,https://github.com/alipay/Antchain-MPC/tree/sec_softmoid,ACSAC,2023,1,2,1,2,"Dec 26, 2023","Python, Terra",DOCKER,5,-1,,0,General Research Fund Research Grants Council,"1,2","Requires docker, which cannot be done on hipergator",ACSAC-2023-Secure_Softmax/Sigmoid_for_Machine-learning_Computation,45_ACSAC-2023-Secure_SoftmaxSigmoid_for
DeepTaster: Adversarial Perturbation-Based Fingerprinting to Identify Proprietary Dataset Use in Deep Neural Networks,"Park, Seonhye and Abuadbba, Alsharif and Wang, Shuo and Moore, Kristen and Gao, Yansong and Kim, Hyoungshick and Nepal, Surya",https://dl.acm.org/doi/pdf/10.1145/3627106.3627204,https://github.com/qkrtjsgp08/DeepTaster,ACSAC,2023,8,2,1,2,"Jan 24, 2024",Python,,1,2,,0,"Institute for Information & communication Technology Planning & Evaluation, Development of HighAssurance, Secure Microkernel ",1,Ran out of tim,ACSAC-2023-DeepTaster:_Adversarial_Perturbation-Based_Fingerprinting_to_Identify_Proprietary_Dataset_Use_in_Deep_Neural_Networks,46_ACSAC-2023-DeepTaster_Adversarial_Perturbation-Based
From Attachments to SEO: Click Here to Learn More about Clickbait PDFs!,"Stivala, Giada and Abdelnabi, Sahar and Mengascini, Andrea and Graziano, Mariano and Fritz, Mario and Pellegrino, Giancarlo",https://dl.acm.org/doi/pdf/10.1145/3627106.3627172,https://www.kaggle.com/datasets/emerald101/from-attachments-to-seo,ACSAC,2023,8,1,1,2,10/02/2023,Jupyter Notebook,GPU,5,-1,GPU,0,N/A,"1,2",,,
,,,,,,,,,,,,,,,,,,,,--,#REF!
,,,,,,,,,,,,,,,,,,,,--,#REF!
,,,,,,,,,,,,,,,,,,,,--,#REF!
,,,,,,,,,,,,,,,,,,,,--,#REF!
,,,,,,,,,,,,,,,,,,,,--,#REF!
,,,,,,,,,,,,,,,,,,,,--,
,,,,,,,,,,,,,,,,,,,,--,
,,,,,,,,,,,,,,,,,,,,--,
,,,,,,,,,,,,,,,,,,,,--,
,,,,,,,,,,,,,,,,,,,,--,
,,,,,,,,,,,,,,,,,,,,--,
,,,,,,,,,,,,,,,,,,,,--,
,,,,,,,,,,,,,,,,,,,,--,
,,,,,,,,,,,,,,,,,,,,--,
,,,,,,,,,,,,,,,,,,,,--,
,,,,,,,,,,,,,,,,,,,,--,
,,,,,,,,,,,,,,,,,,,,--,
,,,,,,,,,,,,,,,,,,,,--,
,,,,,,,,,,,,,,,,,,,,--,
,,,,,,,,,,,,,,,,,,,,--,
,,,,,,,,,,,,,,,,,,,,--,
,,,,,,,,,,,,,,,,,,,,--,
,,,,,,,,,,,,,,,,,,,,--,
,,,,,,,,,,,,,,,,,,,,--,
,,,,,,,,,,,,,,,,,,,,--,
,,,,,,,,,,,,,,,,,,,,--,
,,,,,,,,,,,,,,,,,,,,--,
,,,,,,,,,,,,,,,,,,,,--,
,,,,,,,,,,,,,,,,,,,,--,
,,,,,,,,,,,,,,,,,,,,--,
,,,,,,,,,,,,,,,,,,,,--,
,,,,,,,,,,,,,,,,,,,,--,
,,,,,,,,,,,,,,,,,,,,--,
,,,,,,,,,,,,,,,,,,,,--,
,,,,,,,,,,,,,,,,,,,,--,
,,,,,,,,,,,,,,,,,,,,--,
,,,,,,,,,,,,,,,,,,,,--,
,,,,,,,,,,,,,,,,,,,,--,
,,,,,,,,,,,,,,,,,,,,--,
,,,,,,,,,,,,,,,,,,,,--,
,,,,,,,,,,,,,,,,,,,,--,
,,,,,,,,,,,,,,,,,,,,--,
,,,,,,,,,,,,,,,,,,,,--,
,,,,,,,,,,,,,,,,,,,,--,
,,,,,,,,,,,,,,,,,,,,--,
,,,,,,,,,,,,,,,,,,,,--,
,,,,,,,,,,,,,,,,,,,,--,
,,,,,,,,,,,,,,,,,,,,--,
,,,,,,,,,,,,,,,,,,,,--,
,,,,,,,,,,,,,,,,,,,,--,
,,,,,,,,,,,,,,,,,,,,--,
,,,,,,,,,,,,,,,,,,,,--,
,,,,,,,,,,,,,,,,,,,,--,
,,,,,,,,,,,,,,,,,,,,--,
,,,,,,,,,,,,,,,,,,,,--,
,,,,,,,,,,,,,,,,,,,,--,
,,,,,,,,,,,,,,,,,,,,--,
,,,,,,,,,,,,,,,,,,,,--,
,,,,,,,,,,,,,,,,,,,,--,
,,,,,,,,,,,,,,,,,,,,--,
,,,,,,,,,,,,,,,,,,,,--,
,,,,,,,,,,,,,,,,,,,,--,
,,,,,,,,,,,,,,,,,,,,--,
,,,,,,,,,,,,,,,,,,,,--,
,,,,,,,,,,,,,,,,,,,,--,
,,,,,,,,,,,,,,,,,,,,--,
,,,,,,,,,,,,,,,,,,,,--,
,,,,,,,,,,,,,,,,,,,,--,
,,,,,,,,,,,,,,,,,,,,--,
,,,,,,,,,,,,,,,,,,,,--,
,,,,,,,,,,,,,,,,,,,,--,
,,,,,,,,,,,,,,,,,,,,--,
,,,,,,,,,,,,,,,,,,,,--,
,,,,,,,,,,,,,,,,,,,,--,
,,,,,,,,,,,,,,,,,,,,--,
,,,,,,,,,,,,,,,,,,,,--,
,,,,,,,,,,,,,,,,,,,,--,
,,,,,,,,,,,,,,,,,,,,--,
,,,,,,,,,,,,,,,,,,,,--,
,,,,,,,,,,,,,,,,,,,,--,
,,,,,,,,,,,,,,,,,,,,--,
,,,,,,,,,,,,,,,,,,,,--,
,,,,,,,,,,,,,,,,,,,,--,
,,,,,,,,,,,,,,,,,,,,--,
,,,,,,,,,,,,,,,,,,,,--,
,,,,,,,,,,,,,,,,,,,,--,
,,,,,,,,,,,,,,,,,,,,--,
,,,,,,,,,,,,,,,,,,,,--,
,,,,,,,,,,,,,,,,,,,,--,
,,,,,,,,,,,,,,,,,,,,--,
,,,,,,,,,,,,,,,,,,,,--,
,,,,,,,,,,,,,,,,,,,,--,
,,,,,,,,,,,,,,,,,,,,--,
,,,,,,,,,,,,,,,,,,,,--,
,,,,,,,,,,,,,,,,,,,,--,
,,,,,,,,,,,,,,,,,,,,--,
,,,,,,,,,,,,,,,,,,,,--,
,,,,,,,,,,,,,,,,,,,,--,
,,,,,,,,,,,,,,,,,,,,--,
